Epoch 1 | Train Loss: 0.73597 | Val Loss: 0.67970
Epoch 2 | Train Loss: 0.68482 | Val Loss: 0.66888
Epoch 3 | Train Loss: 0.67295 | Val Loss: 0.66155
Epoch 4 | Train Loss: 0.66173 | Val Loss: 0.64911
Epoch 5 | Train Loss: 0.64892 | Val Loss: 0.64100
Epoch 6 | Train Loss: 0.63525 | Val Loss: 0.61965
Epoch 7 | Train Loss: 0.61270 | Val Loss: 0.59196
Epoch 8 | Train Loss: 0.58780 | Val Loss: 0.57145
Epoch 9 | Train Loss: 0.56221 | Val Loss: 0.55051
Epoch 10 | Train Loss: 0.54428 | Val Loss: 0.52708
Epoch 11 | Train Loss: 0.52822 | Val Loss: 0.52099
Epoch 12 | Train Loss: 0.51620 | Val Loss: 0.50127
Epoch 13 | Train Loss: 0.50356 | Val Loss: 0.49189
Epoch 14 | Train Loss: 0.49271 | Val Loss: 0.48013
Epoch 15 | Train Loss: 0.48353 | Val Loss: 0.46599
Epoch 16 | Train Loss: 0.47408 | Val Loss: 0.47411
Epoch 17 | Train Loss: 0.46858 | Val Loss: 0.46532
Epoch 18 | Train Loss: 0.46248 | Val Loss: 0.45754
Epoch 19 | Train Loss: 0.45589 | Val Loss: 0.45504
Epoch 20 | Train Loss: 0.45116 | Val Loss: 0.45068
Epoch 21 | Train Loss: 0.44337 | Val Loss: 0.44035
Epoch 22 | Train Loss: 0.44038 | Val Loss: 0.44112
Epoch 23 | Train Loss: 0.43673 | Val Loss: 0.43759
Epoch 24 | Train Loss: 0.42997 | Val Loss: 0.43161
Epoch 25 | Train Loss: 0.42602 | Val Loss: 0.42535
Epoch 26 | Train Loss: 0.42111 | Val Loss: 0.43057
Epoch 27 | Train Loss: 0.41979 | Val Loss: 0.42595
Epoch 28 | Train Loss: 0.41404 | Val Loss: 0.42422
Epoch 29 | Train Loss: 0.41112 | Val Loss: 0.41695
Epoch 30 | Train Loss: 0.40685 | Val Loss: 0.41589
Epoch 31 | Train Loss: 0.40385 | Val Loss: 0.41752
Epoch 32 | Train Loss: 0.40011 | Val Loss: 0.42590
Epoch 33 | Train Loss: 0.39750 | Val Loss: 0.41463
Epoch 34 | Train Loss: 0.39193 | Val Loss: 0.41010
Epoch 35 | Train Loss: 0.38955 | Val Loss: 0.42101
Epoch 36 | Train Loss: 0.38797 | Val Loss: 0.40966
Epoch 37 | Train Loss: 0.38365 | Val Loss: 0.40471
Epoch 38 | Train Loss: 0.38122 | Val Loss: 0.40760
Epoch 39 | Train Loss: 0.37685 | Val Loss: 0.40088
Epoch 40 | Train Loss: 0.37408 | Val Loss: 0.40534
Epoch 41 | Train Loss: 0.37097 | Val Loss: 0.40536
Epoch 42 | Train Loss: 0.36888 | Val Loss: 0.39738
Epoch 43 | Train Loss: 0.36483 | Val Loss: 0.39603
Epoch 44 | Train Loss: 0.36179 | Val Loss: 0.39775
Epoch 45 | Train Loss: 0.35938 | Val Loss: 0.40689
