Epoch 1 | Train Loss: 1.18648 | Val Loss: 0.97655
Epoch 2 | Train Loss: 0.91752 | Val Loss: 0.84379
Epoch 3 | Train Loss: 0.79424 | Val Loss: 0.72774
Epoch 4 | Train Loss: 0.71884 | Val Loss: 0.68616
Epoch 5 | Train Loss: 0.67863 | Val Loss: 0.66076
Epoch 6 | Train Loss: 0.64870 | Val Loss: 0.63092
Epoch 7 | Train Loss: 0.62250 | Val Loss: 0.60463
Epoch 8 | Train Loss: 0.59954 | Val Loss: 0.58653
Epoch 9 | Train Loss: 0.57696 | Val Loss: 0.55950
Epoch 10 | Train Loss: 0.55019 | Val Loss: 0.53289
Epoch 11 | Train Loss: 0.52159 | Val Loss: 0.50107
Epoch 12 | Train Loss: 0.48832 | Val Loss: 0.46906
Epoch 13 | Train Loss: 0.46220 | Val Loss: 0.44195
Epoch 14 | Train Loss: 0.44052 | Val Loss: 0.42726
Epoch 15 | Train Loss: 0.42034 | Val Loss: 0.41033
Epoch 16 | Train Loss: 0.40522 | Val Loss: 0.39347
Epoch 17 | Train Loss: 0.39469 | Val Loss: 0.39826
Epoch 18 | Train Loss: 0.38385 | Val Loss: 0.37628
Epoch 19 | Train Loss: 0.37544 | Val Loss: 0.37067
Epoch 20 | Train Loss: 0.36904 | Val Loss: 0.36820
Epoch 21 | Train Loss: 0.36169 | Val Loss: 0.36145
Epoch 22 | Train Loss: 0.35664 | Val Loss: 0.35973
Epoch 23 | Train Loss: 0.35294 | Val Loss: 0.35266
Epoch 24 | Train Loss: 0.34853 | Val Loss: 0.34823
Epoch 25 | Train Loss: 0.34264 | Val Loss: 0.34808
Epoch 26 | Train Loss: 0.33913 | Val Loss: 0.34488
Epoch 27 | Train Loss: 0.33527 | Val Loss: 0.34308
Epoch 28 | Train Loss: 0.33220 | Val Loss: 0.34312
Epoch 29 | Train Loss: 0.32856 | Val Loss: 0.34380
Epoch 30 | Train Loss: 0.32456 | Val Loss: 0.33718
Epoch 31 | Train Loss: 0.32142 | Val Loss: 0.32959
Epoch 32 | Train Loss: 0.31747 | Val Loss: 0.33179
Epoch 33 | Train Loss: 0.31499 | Val Loss: 0.32572
Epoch 34 | Train Loss: 0.31201 | Val Loss: 0.32573
Epoch 35 | Train Loss: 0.30880 | Val Loss: 0.32495
Epoch 36 | Train Loss: 0.30534 | Val Loss: 0.32297
Epoch 37 | Train Loss: 0.30337 | Val Loss: 0.31974
Epoch 38 | Train Loss: 0.29999 | Val Loss: 0.31798
Epoch 39 | Train Loss: 0.29672 | Val Loss: 0.31640
Epoch 40 | Train Loss: 0.29340 | Val Loss: 0.32080
Epoch 41 | Train Loss: 0.29087 | Val Loss: 0.31317
Epoch 42 | Train Loss: 0.28728 | Val Loss: 0.31303
Epoch 43 | Train Loss: 0.28510 | Val Loss: 0.31420
Epoch 44 | Train Loss: 0.28169 | Val Loss: 0.30755
Epoch 45 | Train Loss: 0.27899 | Val Loss: 0.30936
Epoch 46 | Train Loss: 0.27577 | Val Loss: 0.30642
Epoch 47 | Train Loss: 0.27407 | Val Loss: 0.30688
Epoch 48 | Train Loss: 0.27156 | Val Loss: 0.30216
Epoch 49 | Train Loss: 0.26862 | Val Loss: 0.30569
Epoch 50 | Train Loss: 0.26593 | Val Loss: 0.30207
Epoch 51 | Train Loss: 0.26281 | Val Loss: 0.30231
Epoch 52 | Train Loss: 0.25925 | Val Loss: 0.29905
Epoch 53 | Train Loss: 0.25646 | Val Loss: 0.29965
Epoch 54 | Train Loss: 0.25581 | Val Loss: 0.30615
Epoch 55 | Train Loss: 0.25297 | Val Loss: 0.29874
Epoch 56 | Train Loss: 0.24985 | Val Loss: 0.29571
Epoch 57 | Train Loss: 0.24827 | Val Loss: 0.29567
Epoch 58 | Train Loss: 0.24576 | Val Loss: 0.29375
Epoch 59 | Train Loss: 0.24237 | Val Loss: 0.29352
Epoch 60 | Train Loss: 0.24128 | Val Loss: 0.29249
Epoch 61 | Train Loss: 0.23926 | Val Loss: 0.29410
Epoch 62 | Train Loss: 0.23680 | Val Loss: 0.28923
Epoch 63 | Train Loss: 0.23514 | Val Loss: 0.29175
Epoch 64 | Train Loss: 0.23318 | Val Loss: 0.28990
Epoch 65 | Train Loss: 0.23196 | Val Loss: 0.28849
Epoch 66 | Train Loss: 0.22961 | Val Loss: 0.28846
Epoch 67 | Train Loss: 0.22783 | Val Loss: 0.28994
Epoch 68 | Train Loss: 0.22616 | Val Loss: 0.28976
Epoch 69 | Train Loss: 0.22431 | Val Loss: 0.28804
Epoch 70 | Train Loss: 0.22298 | Val Loss: 0.28713
Epoch 71 | Train Loss: 0.22090 | Val Loss: 0.28716
Epoch 72 | Train Loss: 0.21939 | Val Loss: 0.28668
Epoch 73 | Train Loss: 0.21804 | Val Loss: 0.28512
Epoch 74 | Train Loss: 0.21714 | Val Loss: 0.28451
Epoch 75 | Train Loss: 0.21490 | Val Loss: 0.28605
Epoch 76 | Train Loss: 0.21305 | Val Loss: 0.28651
Epoch 77 | Train Loss: 0.21190 | Val Loss: 0.28273
Epoch 78 | Train Loss: 0.21056 | Val Loss: 0.28232
Epoch 79 | Train Loss: 0.20962 | Val Loss: 0.28480
Epoch 80 | Train Loss: 0.20882 | Val Loss: 0.28070
Epoch 81 | Train Loss: 0.20697 | Val Loss: 0.28261
Epoch 82 | Train Loss: 0.20608 | Val Loss: 0.28099
Epoch 83 | Train Loss: 0.20542 | Val Loss: 0.28067
Epoch 84 | Train Loss: 0.20410 | Val Loss: 0.28220
Epoch 85 | Train Loss: 0.20258 | Val Loss: 0.27849
Epoch 86 | Train Loss: 0.20084 | Val Loss: 0.27956
Epoch 87 | Train Loss: 0.20041 | Val Loss: 0.27986
Epoch 88 | Train Loss: 0.19935 | Val Loss: 0.27932
Epoch 89 | Train Loss: 0.19824 | Val Loss: 0.27887
Epoch 90 | Train Loss: 0.19723 | Val Loss: 0.27614
Epoch 91 | Train Loss: 0.19602 | Val Loss: 0.27863
Epoch 92 | Train Loss: 0.19553 | Val Loss: 0.27730
Epoch 93 | Train Loss: 0.19475 | Val Loss: 0.27964
Epoch 94 | Train Loss: 0.19292 | Val Loss: 0.27658
Epoch 95 | Train Loss: 0.19196 | Val Loss: 0.27786
Epoch 96 | Train Loss: 0.19237 | Val Loss: 0.27778
Epoch 97 | Train Loss: 0.18141 | Val Loss: 0.27052
