Epoch 1 | Train Loss: 58.46357 | Val Loss: 56.13884
Epoch 2 | Train Loss: 53.92652 | Val Loss: 50.47078
Epoch 3 | Train Loss: 47.38638 | Val Loss: 43.70404
Epoch 4 | Train Loss: 41.09384 | Val Loss: 37.62818
Epoch 5 | Train Loss: 34.48570 | Val Loss: 30.44013
Epoch 6 | Train Loss: 27.05566 | Val Loss: 22.94918
Epoch 7 | Train Loss: 19.69318 | Val Loss: 15.96892
Epoch 8 | Train Loss: 13.30462 | Val Loss: 10.47633
Epoch 9 | Train Loss: 8.52667 | Val Loss: 6.55493
Epoch 10 | Train Loss: 5.48955 | Val Loss: 4.10946
Epoch 11 | Train Loss: 3.74349 | Val Loss: 2.86684
Epoch 12 | Train Loss: 2.77652 | Val Loss: 2.17552
Epoch 13 | Train Loss: 2.23446 | Val Loss: 1.72657
Epoch 14 | Train Loss: 1.93633 | Val Loss: 1.64594
Epoch 15 | Train Loss: 1.73415 | Val Loss: 1.31794
Epoch 16 | Train Loss: 1.58330 | Val Loss: 1.49073
Epoch 17 | Train Loss: 1.47862 | Val Loss: 1.36968
Epoch 18 | Train Loss: 1.37947 | Val Loss: 1.34615
Epoch 19 | Train Loss: 1.32565 | Val Loss: 1.09912
Epoch 20 | Train Loss: 1.26956 | Val Loss: 1.24989
Epoch 21 | Train Loss: 1.22291 | Val Loss: 1.08915
Epoch 22 | Train Loss: 1.17345 | Val Loss: 0.95946
Epoch 23 | Train Loss: 1.11923 | Val Loss: 1.05106
Epoch 24 | Train Loss: 1.10735 | Val Loss: 0.80204
Epoch 25 | Train Loss: 1.06466 | Val Loss: 0.92133
Epoch 26 | Train Loss: 1.04475 | Val Loss: 0.86918
Epoch 27 | Train Loss: 1.02600 | Val Loss: 0.94245
Epoch 28 | Train Loss: 0.99918 | Val Loss: 0.86153
Epoch 29 | Train Loss: 0.97180 | Val Loss: 0.94639
Epoch 30 | Train Loss: 0.95975 | Val Loss: 0.75878
Epoch 31 | Train Loss: 0.91144 | Val Loss: 0.71718
Epoch 32 | Train Loss: 0.91405 | Val Loss: 0.73509
Epoch 33 | Train Loss: 0.88463 | Val Loss: 0.90123
Epoch 34 | Train Loss: 0.86553 | Val Loss: 0.97506
Epoch 35 | Train Loss: 0.86379 | Val Loss: 0.81669
Epoch 36 | Train Loss: 0.84821 | Val Loss: 0.75942
Epoch 37 | Train Loss: 0.82361 | Val Loss: 0.77996
Epoch 38 | Train Loss: 0.81738 | Val Loss: 0.77377
Epoch 39 | Train Loss: 0.80077 | Val Loss: 0.75969
