Epoch 1 | Train Loss: 27.17576 | Val Loss: 15.58147
Epoch 2 | Train Loss: 6.47527 | Val Loss: 2.10833
Epoch 3 | Train Loss: 1.71880 | Val Loss: 1.39590
Epoch 4 | Train Loss: 1.30016 | Val Loss: 1.11944
Epoch 5 | Train Loss: 1.14312 | Val Loss: 0.87010
Epoch 6 | Train Loss: 1.03187 | Val Loss: 0.74387
Epoch 7 | Train Loss: 0.96780 | Val Loss: 0.81496
Epoch 8 | Train Loss: 0.92096 | Val Loss: 0.80677
Epoch 9 | Train Loss: 0.89098 | Val Loss: 0.83312
Epoch 10 | Train Loss: 0.84355 | Val Loss: 0.90058
Epoch 11 | Train Loss: 0.82287 | Val Loss: 0.72348
Epoch 12 | Train Loss: 0.79963 | Val Loss: 0.60350
Epoch 13 | Train Loss: 0.77746 | Val Loss: 0.81343
Epoch 14 | Train Loss: 0.76120 | Val Loss: 0.61409
Epoch 15 | Train Loss: 0.74899 | Val Loss: 0.53111
Epoch 16 | Train Loss: 0.73694 | Val Loss: 0.55839
Epoch 17 | Train Loss: 0.71816 | Val Loss: 0.65982
Epoch 18 | Train Loss: 0.70801 | Val Loss: 0.57880
Epoch 19 | Train Loss: 0.70124 | Val Loss: 0.65137
Epoch 20 | Train Loss: 0.68506 | Val Loss: 0.66457
Epoch 21 | Train Loss: 0.67940 | Val Loss: 0.52348
Epoch 22 | Train Loss: 0.66772 | Val Loss: 0.61044
Epoch 23 | Train Loss: 0.66236 | Val Loss: 0.52550
Epoch 24 | Train Loss: 0.65575 | Val Loss: 0.54695
Epoch 25 | Train Loss: 0.65303 | Val Loss: 0.67509
Epoch 26 | Train Loss: 0.63982 | Val Loss: 0.61539
Epoch 27 | Train Loss: 0.63315 | Val Loss: 0.51768
Epoch 28 | Train Loss: 0.62439 | Val Loss: 0.58811
Epoch 29 | Train Loss: 0.61568 | Val Loss: 0.56501
Epoch 30 | Train Loss: 0.61555 | Val Loss: 0.50509
Epoch 31 | Train Loss: 0.60417 | Val Loss: 0.50919
Epoch 32 | Train Loss: 0.60086 | Val Loss: 0.53405
Epoch 33 | Train Loss: 0.58816 | Val Loss: 0.55623
Epoch 34 | Train Loss: 0.58789 | Val Loss: 0.61520
Epoch 35 | Train Loss: 0.57945 | Val Loss: 0.48957
Epoch 36 | Train Loss: 0.56919 | Val Loss: 0.50985
Epoch 37 | Train Loss: 0.56747 | Val Loss: 0.54014
Epoch 38 | Train Loss: 0.56566 | Val Loss: 0.46229
Epoch 39 | Train Loss: 0.55784 | Val Loss: 0.55556
Epoch 40 | Train Loss: 0.55479 | Val Loss: 0.57406
Epoch 41 | Train Loss: 0.55179 | Val Loss: 0.47621
Epoch 42 | Train Loss: 0.54513 | Val Loss: 0.52503
Epoch 43 | Train Loss: 0.54672 | Val Loss: 0.48602
Epoch 44 | Train Loss: 0.54008 | Val Loss: 0.47670
Epoch 45 | Train Loss: 0.53931 | Val Loss: 0.47603
Epoch 46 | Train Loss: 0.53336 | Val Loss: 0.52742
Epoch 47 | Train Loss: 0.53268 | Val Loss: 0.50803
Epoch 48 | Train Loss: 0.52434 | Val Loss: 0.49186
